Date,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Adj Close_Bitcoin,Volume_Bitcoin,Open_Gold,High_Gold,Low_Gold,Close_Gold,Adj Close_Gold,Volume_Gold,Open_dollar,High_dollar,Low_dollar,Close_dollar,Adj Close_dollar,Volume_dollar,Open_sap500,High_sap500,Low_sap500,Close_sap500,Adj Close_sap500,Volume_sap500,Open_Litcoin,High_Litcoin,Low_Litcoin,Close_Litcoin,Adj Close_Litcoin,Volume_Litcoin,Open_Etherium,High_Etherium,Low_Etherium,Close_Etherium,Adj Close_Etherium,Volume_Etherium
2016-05-17,454.009003,455.071991,453.60501100000005,453.78299000000004,453.78299000000004,64100300.0,1272.5,1281.599976,1270.800049,1276.199951,1276.199951,16.0,94.57,94.709999,94.33000200000001,94.550003,94.550003,0.0,2065.04,2065.69,2040.82,2047.21,2047.21,4108960000,4.00364,4.0349699999999995,3.9744,3.9831300000000005,3.9831300000000005,2663640.0,11.1932,12.487,11.1526,12.1988,12.1988,37198700.0
2016-05-18,453.69100999999995,455.997986,453.299011,454.618988,454.618988,86850096.0,1276.400024,1276.400024,1256.800049,1273.699951,1273.699951,17.0,94.57,95.269997,94.529999,95.08000200000001,95.08000200000001,0.0,2044.38,2060.61,2034.49,2047.63,2047.63,4101320000,3.9798,4.04284,3.9751,4.00322,4.00322,2377740.0,12.1793,14.259,12.1793,13.5586,13.5586,65389900.0
2016-05-19,454.52398700000003,454.632996,438.714996,438.714996,438.714996,96027400.0,1248.0,1255.5,1247.5,1254.199951,1254.199951,69.0,95.139999,95.5,95.120003,95.290001,95.290001,0.0,2044.21,2044.21,2025.91,2040.04,2040.04,3846770000,4.00244,4.0343800000000005,3.83339,3.83339,3.83339,3380010.0,13.5428,14.8728,13.3376,14.7697,14.7697,53757500.0
2016-05-20,437.792999,444.053986,437.389008,442.675995,442.675995,81987904.0,1256.599976,1256.599976,1252.400024,1252.400024,1252.400024,44.0,95.290001,95.459999,95.16999799999999,95.309998,95.309998,0.0,2041.88,2058.35,2041.88,2052.32,2052.32,3507650000,3.82493,3.9188699999999996,3.8178900000000002,3.88101,3.88101,3638250.0,14.8532,15.0482,13.3842,13.6356,13.6356,50544100.0
2016-05-23,439.347992,444.34500099999997,438.82299800000004,444.15499900000003,444.15499900000003,50582500.0,1251.599976,1251.599976,1247.5,1251.099976,1251.099976,56.0,95.290001,95.480003,95.099998,95.230003,95.230003,0.0,2052.23,2055.58,2047.26,2048.04,2048.04,3055480000,3.9229300000000005,3.9730800000000004,3.89946,3.9681900000000003,3.9681900000000003,1868020.0,14.2798,14.4924,13.1922,13.4615,13.4615,23842800.0
2016-05-24,444.290985,447.10000599999995,443.92999299999997,445.98098799999997,445.98098799999997,65783100.0,1240.0,1240.0,1228.199951,1228.900024,1228.900024,20.0,95.260002,95.660004,95.199997,95.57,95.57,0.0,2052.65,2079.67,2052.65,2076.06,2076.06,3627340000,3.96388,3.9846,3.9388699999999996,3.9514099999999996,3.9514099999999996,1742000.0,13.3054,13.7743,12.0141,12.7323,12.7323,41560600.0
2016-05-25,446.06201200000004,450.298004,446.06201200000004,449.59899900000005,449.59899900000005,65231000.0,1219.300049,1223.5,1218.599976,1223.5,1223.5,5.0,95.620003,95.660004,95.33000200000001,95.349998,95.349998,0.0,2078.93,2094.73,2078.93,2090.54,2090.54,3859160000,3.9508099999999997,4.04566,3.94757,4.04566,4.04566,2765530.0,12.7932,12.8984,11.7666,12.526,12.526,27444700.0
2016-05-26,449.671997,453.64401200000003,447.89599599999997,453.384003,453.384003,65203800.0,1232.599976,1232.599976,1220.099976,1220.099976,1220.099976,199778.0,95.41999799999999,95.41999799999999,94.940002,95.16999799999999,95.16999799999999,0.0,2091.44,2094.3,2087.08,2090.1,2090.1,3230990000,4.04526,4.104509999999999,4.02687,4.08247,4.08247,2530850.0,12.5161,12.9866,12.0592,12.4304,12.4304,20764000.0
2016-05-27,453.52099599999997,478.14898700000003,453.52099599999997,473.46398899999997,473.46398899999997,164780992.0,1220.300049,1223.199951,1206.400024,1213.800049,1213.800049,63739.0,95.139999,95.779999,95.08000200000001,95.519997,95.519997,0.0,2090.06,2099.06,2090.06,2099.06,2099.06,3079150000,4.08942,4.683269999999999,4.08726,4.50133,4.50133,10821100.0,12.3894,12.3894,10.5027,11.2958,11.2958,57496400.0
2016-05-31,534.190979,546.617981,520.6619870000001,531.385986,531.385986,138450000.0,1212.5,1217.599976,1199.0,1214.800049,1214.800049,6432.0,95.660004,95.889999,95.459999,95.889999,95.889999,0.0,2100.13,2103.48,2088.66,2096.95,2096.95,4514410000,4.6876,4.74944,4.60479,4.65039,4.65039,5187600.0,12.7435,14.2673,12.6422,14.0773,14.0773,42433400.0
2016-06-01,531.106995,543.080017,525.635986,536.919983,536.919983,86061800.0,1215.699951,1219.800049,1205.400024,1211.900024,1211.900024,2717.0,95.82,95.900002,95.339996,95.459999,95.459999,0.0,2093.94,2100.97,2085.1,2099.33,2099.33,3525170000,4.65329,4.7733099999999995,4.62104,4.74099,4.74099,4577160.0,14.1098,14.3155,13.4389,14.0015,14.0015,22471300.0
2016-06-02,536.5150150000001,540.35199,533.0780030000001,537.971985,537.971985,60378200.0,1212.400024,1217.0,1209.599976,1209.800049,1209.800049,1627.0,95.43,95.589996,95.150002,95.559998,95.559998,0.0,2097.71,2105.26,2088.59,2105.26,2105.26,3632720000,4.74465,4.75948,4.6795599999999995,4.71505,4.71505,2121360.0,13.9917,14.0484,13.6292,13.738,13.738,10477200.0
2016-06-03,537.682007,574.638,536.919983,569.19397,569.19397,122020000.0,1209.099976,1244.5,1206.400024,1240.099976,1240.099976,1622.0,95.550003,95.639999,93.870003,94.029999,94.029999,0.0,2104.07,2104.07,2085.36,2099.13,2099.13,3627780000,4.7195800000000006,4.86572,4.70556,4.86097,4.86097,4061990.0,13.7429,13.8738,13.2543,13.8467,13.8467,22981500.0
2016-06-06,574.60199,586.469971,574.60199,585.5369870000001,585.5369870000001,72138896.0,1244.400024,1247.300049,1240.0,1244.599976,1244.599976,1135.0,93.870003,94.269997,93.75,93.900002,93.900002,0.0,2100.83,2113.36,2100.83,2109.41,2109.41,3442020000,4.8144599999999995,4.966469999999999,4.81036,4.95916,4.95916,2993510.0,14.0007,14.0585,13.7349,13.9341,13.9341,8720400.0
